"","SubjIdx","BlockIndex","BlockTrial","TrialIndex","Condition","Cue","Correct","Rt","Error","AbsError","UncertaintyImage"
"1","0","1","1","1","incongruent","red",1,683,4,4,8
"2","0","1","2","2","congruent","red",1,386,-11,11,9
"3","0","1","3","3","incongruent","red",1,569,36,36,9
"4","0","1","4","4","congruent","blue",1,528,24,24,8
"5","0","1","5","5","incongruent","red",1,603,7,7,11
"6","0","1","6","6","incongruent","blue",1,658,13,13,2
"7","0","1","7","7","congruent","green",1,628,4,4,6
"8","0","1","8","8","congruent","green",1,479,-1,1,6
"9","0","1","9","9","incongruent","red",1,611,18,18,6
"10","0","1","10","10","incongruent","green",1,676,-28,28,6
"11","0","1","11","11","congruent","blue",1,507,9,9,11
"12","0","1","12","12","congruent","blue",1,685,17,17,4
"13","0","1","13","13","congruent","green",1,607,-21,21,9
"14","0","1","14","14","congruent","red",1,383,-19,19,8
"15","0","1","15","15","incongruent","red",1,489,-4,4,8
"16","0","1","16","16","incongruent","blue",1,661,-20,20,9
"17","0","1","17","17","incongruent","green",1,692,-15,15,8
"18","0","1","18","18","incongruent","blue",1,724,0,0,15
"19","0","1","19","19","congruent","red",1,367,-5,5,11
"20","0","1","20","20","incongruent","blue",1,451,-3,3,9
"21","0","1","21","21","congruent","red",1,415,37,37,6
"22","0","1","22","22","congruent","green",1,513,5,5,6
"23","0","1","23","23","incongruent","blue",1,771,-70,70,9
"24","0","1","24","24","congruent","blue",1,397,19,19,11
"25","0","1","25","25","incongruent","red",1,667,5,5,4
"26","0","1","26","26","congruent","red",1,407,4,4,0
"27","0","1","27","27","congruent","blue",1,569,23,23,9
"28","0","1","28","28","congruent","green",0,414,1,1,9
"29","0","1","29","29","incongruent","green",1,891,-3,3,4
"30","0","1","30","30","congruent","blue",1,671,16,16,11
"31","0","1","31","31","incongruent","green",1,659,14,14,9
"32","0","1","32","32","incongruent","red",1,613,16,16,9
"33","0","1","33","33","congruent","red",1,487,-1,1,11
"34","0","1","34","34","incongruent","blue",1,673,-25,25,9
"35","0","1","35","35","incongruent","green",1,449,19,19,9
"36","0","1","36","36","incongruent","red",1,497,-8,8,6
"37","0","1","37","37","incongruent","blue",1,455,-12,12,8
"38","0","1","38","38","congruent","blue",1,636,-15,15,13
"39","0","1","39","39","congruent","red",1,622,-22,22,9
"40","0","1","40","40","incongruent","green",1,479,-2,2,NA
"41","0","1","41","41","congruent","green",1,555,-24,24,NA
"42","0","1","42","42","incongruent","blue",1,697,-11,11,4
"43","0","1","43","43","incongruent","green",0,446,17,17,9
"44","0","1","44","44","congruent","green",0,479,-17,17,NA
"45","0","1","45","45","congruent","red",1,592,-15,15,NA
"46","0","1","46","46","congruent","green",1,564,-69,69,9
"47","0","1","47","47","incongruent","green",1,673,6,6,6
"48","0","1","48","48","congruent","blue",1,668,-10,10,6
"49","0","2","1","49","congruent","blue",0,NA,12,12,4
"50","0","2","2","50","incongruent","blue",0,NA,10,10,8
"51","0","2","3","51","incongruent","red",1,611,-5,5,6
"52","0","2","4","52","congruent","blue",1,629,1,1,4
"53","0","2","5","53","congruent","red",1,643,5,5,4
"54","0","2","6","54","congruent","red",1,585,2,2,NA
"55","0","2","7","55","congruent","green",1,618,0,0,4
"56","0","2","8","56","incongruent","blue",1,622,12,12,6
"57","0","2","9","57","incongruent","green",0,519,12,12,4
"58","0","2","10","58","congruent","blue",1,448,-17,17,6
"59","0","2","11","59","congruent","red",1,430,-11,11,4
"60","0","2","12","60","congruent","green",1,554,14,14,4
"61","0","2","13","61","incongruent","blue",1,638,131,131,4
"62","0","2","14","62","incongruent","blue",1,614,10,10,NA
"63","0","2","15","63","congruent","red",1,483,11,11,6
"64","0","2","16","64","incongruent","red",1,536,-14,14,2
"65","0","2","17","65","congruent","green",1,546,2,2,6
"66","0","2","18","66","incongruent","green",0,NA,4,4,6
"67","0","2","19","67","incongruent","red",1,536,8,8,8
"68","0","2","20","68","incongruent","blue",1,885,19,19,6
"69","0","2","21","69","congruent","blue",1,537,18,18,6
"70","0","2","22","70","incongruent","green",1,1078,0,0,9
"71","0","2","23","71","congruent","green",1,434,3,3,9
"72","0","2","24","72","incongruent","blue",1,750,8,8,9
"73","0","2","25","73","incongruent","red",1,627,25,25,9
"74","0","2","26","74","incongruent","blue",1,550,-3,3,11
"75","0","2","27","75","congruent","green",1,612,-3,3,13
"76","0","2","28","76","congruent","blue",1,554,21,21,NA
"77","0","2","29","77","incongruent","green",1,606,-35,35,9
"78","0","2","30","78","congruent","red",1,507,3,3,9
"79","0","2","31","79","congruent","red",1,364,6,6,9
