"","SubjIdx","BlockIndex","BlockTrial","TrialIndex","Condition","Cue","Correct","Rt","Error","AbsError","UncertaintyImage"
"1","0","1","1","1","congruent","bedroom",1,911,16,16,6
"2","0","1","2","2","incongruent","restaurant",1,550,1,1,18
"3","0","1","3","3","incongruent","bedroom",1,575,27,27,17
"4","0","1","4","4","incongruent","restaurant",1,788,-6,6,19
"5","0","1","5","5","incongruent","bedroom",1,1126,33,33,21
"6","0","1","6","6","incongruent","dinningroom",1,760,10,10,15
"7","0","1","7","7","incongruent","bedroom",1,686,-3,3,20
"8","0","1","8","8","incongruent","restaurant",1,664,-5,5,21
"9","0","1","9","9","incongruent","restaurant",1,743,-13,13,13
"10","0","1","10","10","congruent","dinningroom",1,991,-12,12,18
"11","0","1","11","11","incongruent","dinningroom",1,1150,-1,1,15
"12","0","1","12","12","incongruent","dinningroom",1,1013,-15,15,13
"13","0","1","13","13","incongruent","dinningroom",1,500,11,11,11
"14","0","1","14","14","congruent","bedroom",0,918,-4,4,18
"15","0","1","15","15","incongruent","bedroom",1,889,0,0,17
"16","0","1","16","16","congruent","restaurant",1,696,-13,13,15
"17","0","1","17","17","congruent","bedroom",0,1104,107,107,153
"18","0","1","18","18","congruent","restaurant",1,1048,7,7,19
"19","0","1","19","19","incongruent","bedroom",1,867,7,7,17
"20","0","1","20","20","incongruent","dinningroom",0,958,-67,67,15
"21","0","1","21","21","incongruent","bedroom",1,939,32,32,15
"22","0","1","22","22","incongruent","dinningroom",1,1197,-1,1,20
"23","0","1","23","23","congruent","restaurant",0,956,26,26,11
"24","0","1","24","24","incongruent","restaurant",1,1187,-19,19,20
"25","0","1","25","25","congruent","restaurant",1,1015,-5,5,15
"26","0","1","26","26","incongruent","dinningroom",1,999,-39,39,20
"27","0","1","27","27","congruent","dinningroom",1,764,-13,13,20
"28","0","1","28","28","congruent","restaurant",1,1117,90,90,31
"29","0","1","29","29","congruent","dinningroom",1,1044,-3,3,15
"30","0","1","30","30","incongruent","bedroom",1,1447,18,18,20
"31","0","1","31","31","incongruent","dinningroom",1,753,8,8,13
"32","0","1","32","32","incongruent","restaurant",1,884,-14,14,15
"33","0","1","33","33","congruent","restaurant",1,1087,11,11,13
"34","0","1","34","34","incongruent","bedroom",1,1026,43,43,11
"35","0","1","35","35","incongruent","bedroom",1,981,-1,1,15
"36","0","1","36","36","incongruent","dinningroom",1,1017,3,3,17
"37","0","1","37","37","incongruent","bedroom",1,1033,-9,9,17
"38","0","1","38","38","incongruent","restaurant",1,1252,5,5,11
"39","0","1","39","39","congruent","dinningroom",1,721,17,17,17
"40","0","1","40","40","incongruent","dinningroom",1,966,-3,3,11
"41","0","1","41","41","incongruent","bedroom",1,857,-15,15,15
"42","0","1","42","42","incongruent","dinningroom",1,1185,-7,7,18
"43","0","1","43","43","congruent","restaurant",0,1319,-46,46,22
"44","0","1","44","44","congruent","restaurant",1,1409,87,87,46
"45","0","1","45","45","incongruent","restaurant",1,1013,-11,11,23
"46","0","1","46","46","incongruent","dinningroom",1,1110,-17,17,21
"47","0","1","47","47","incongruent","bedroom",1,1213,-7,7,23
"48","0","1","48","48","congruent","bedroom",1,1210,-4,4,9
"49","0","2","1","49","congruent","restaurant",1,1357,1,1,15
"50","0","2","2","50","incongruent","bedroom",1,1193,4,4,17
"51","0","2","3","51","congruent","bedroom",1,776,10,10,9
"52","0","2","4","52","congruent","restaurant",1,967,17,17,11
"53","0","2","5","53","congruent","dinningroom",1,621,-26,26,17
"54","0","2","6","54","incongruent","restaurant",1,1191,2,2,11
"55","0","2","7","55","incongruent","bedroom",1,1001,-2,2,19
"56","0","2","8","56","incongruent","restaurant",0,1196,16,16,18
"57","0","2","9","57","incongruent","restaurant",1,1345,5,5,13
"58","0","2","10","58","incongruent","dinningroom",1,1262,14,14,19
"59","0","2","11","59","incongruent","bedroom",1,1651,5,5,15
"60","0","2","12","60","congruent","dinningroom",1,793,-5,5,9
"61","0","2","13","61","incongruent","dinningroom",1,963,-39,39,11
"62","0","2","14","62","congruent","bedroom",0,1389,-2,2,13
"63","0","2","15","63","incongruent","bedroom",1,1116,-14,14,31
"64","0","2","16","64","congruent","restaurant",1,987,-8,8,22
"65","0","2","17","65","incongruent","dinningroom",1,1237,-2,2,13
"66","0","2","18","66","incongruent","bedroom",1,1138,-2,2,15
"67","0","2","19","67","incongruent","restaurant",1,1466,-28,28,13
"68","0","2","20","68","congruent","dinningroom",1,597,4,4,13
"69","0","2","21","69","incongruent","dinningroom",0,1045,4,4,20
"70","0","2","22","70","incongruent","bedroom",1,1003,-11,11,17
"71","0","2","23","71","congruent","bedroom",1,671,1,1,13
"72","0","2","24","72","incongruent","bedroom",1,753,0,0,13
"73","0","2","25","73","congruent","bedroom",1,565,0,0,18
"74","0","2","26","74","incongruent","dinningroom",1,902,-3,3,15
"75","0","2","27","75","incongruent","bedroom",1,721,-2,2,15
"76","0","2","28","76","congruent","dinningroom",1,563,-3,3,NA
"77","0","2","29","77","congruent","restaurant",0,597,4,4,9
"78","0","2","30","78","incongruent","dinningroom",1,864,8,8,15
"79","0","2","31","79","congruent","restaurant",1,1295,-14,14,18
"80","0","2","32","80","incongruent","dinningroom",1,1224,-11,11,NA
"81","0","2","33","81","incongruent","dinningroom",1,1025,-3,3,9
"82","0","2","34","82","congruent","restaurant",1,950,3,3,17
"83","0","2","35","83","incongruent","restaurant",1,705,-4,4,9
"84","0","2","36","84","incongruent","dinningroom",0,1020,0,0,11
"85","0","2","37","85","incongruent","bedroom",1,692,28,28,11
"86","0","2","38","86","incongruent","restaurant",1,879,-3,3,11
"87","0","2","39","87","congruent","restaurant",1,1281,-11,11,11
"88","0","2","40","88","incongruent","bedroom",1,714,-5,5,6
"89","0","2","41","89","incongruent","dinningroom",0,995,14,14,11
"90","0","2","42","90","congruent","restaurant",0,820,5,5,13
"91","0","2","43","91","incongruent","dinningroom",1,944,-17,17,13
"92","0","2","44","92","incongruent","bedroom",1,1176,-5,5,11
"93","0","2","45","93","incongruent","restaurant",1,1119,-18,18,18
"94","0","2","46","94","incongruent","dinningroom",1,1084,-24,24,13
"95","0","2","47","95","incongruent","restaurant",1,1259,29,29,13
"96","0","2","48","96","incongruent","bedroom",1,886,-2,2,11
"97","0","3","1","97","incongruent","bedroom",0,NA,-6,6,13
"98","0","3","2","98","incongruent","bedroom",1,1593,-80,80,17
"99","0","3","3","99","incongruent","bedroom",1,1020,-32,32,13
"100","0","3","4","100","congruent","bedroom",1,637,-10,10,13
"101","0","3","5","101","incongruent","restaurant",1,820,6,6,11
"102","0","3","6","102","incongruent","dinningroom",1,956,1,1,NA
"103","0","3","7","103","congruent","bedroom",0,1235,0,0,15
